Employee_ID,Year_of_Joining,MonthofJoining,DayofJoining,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,2007,10,18,42682,298774,2,Y,No,20,4,1,80,2,15,1,2,12,4,10,11
2,2017,4,21,45252,45252,8,Y,No,2,1,3,80,4,5,4,3,1,1,1,1
3,2013,11,7,46149,507639,7,Y,Yes,39,3,2,80,2,9,5,1,6,6,4,3
4,2000,7,26,27150,27150,4,Y,No,16,3,2,80,2,22,4,4,10,9,5,6
5,1992,3,25,15894,47682,6,Y,Yes,42,3,4,80,2,30,3,4,29,27,9,7
6,1989,11,3,41552,1246560,3,Y,Yes,15,4,3,80,1,33,4,2,16,4,14,3
7,2018,7,7,5303,148484,3,Y,No,45,4,1,80,1,4,3,4,2,1,1,2
8,2020,3,6,28555,571100,2,Y,Yes,35,3,2,80,1,2,2,2,2,2,2,2
9,2014,12,10,3241,87507,7,Y,No,1,1,3,80,2,8,1,2,2,1,2,2
10,2016,6,7,4323,116721,4,Y,Yes,32,1,3,80,4,6,4,4,5,3,4,1
11,1984,7,28,10587,95283,0,Y,Yes,47,4,2,80,1,38,3,4,24,19,8,6
12,2006,3,26,7446,141474,8,Y,Yes,44,1,2,80,4,16,5,3,8,6,7,6
13,1992,6,22,34153,648907,7,Y,No,17,1,3,80,1,30,2,2,15,3,8,4
14,2008,7,12,47844,382752,1,Y,No,47,1,4,80,1,14,4,2,13,9,11,5
15,2020,10,15,21432,21432,4,Y,Yes,48,2,1,80,4,2,6,2,1,1,1,1
16,1995,9,17,50393,1058253,6,Y,Yes,42,2,1,80,2,27,3,1,27,13,18,18
17,2008,3,17,22090,66270,7,Y,No,19,2,1,80,2,14,3,3,5,3,4,5
18,2017,11,5,47968,47968,3,Y,Yes,41,4,2,80,1,5,4,3,4,1,2,3
19,2015,10,18,24665,98660,0,Y,No,17,2,3,80,4,7,1,3,6,4,3,4
20,1983,2,6,41084,903848,7,Y,No,46,1,3,80,3,39,6,4,17,3,13,4
21,2002,10,25,29391,264519,0,Y,Yes,43,3,2,80,3,20,2,3,5,5,3,2
22,2004,3,23,3835,72865,3,Y,No,33,3,4,80,3,18,3,4,9,5,7,3
23,1986,3,28,30597,152985,3,Y,No,28,4,1,80,1,36,6,1,30,8,11,4
24,2014,10,24,28296,679104,4,Y,No,44,1,4,80,2,8,4,2,3,2,2,2
25,2007,2,24,44614,803052,2,Y,No,0,4,2,80,4,15,1,2,6,1,1,2
26,2000,10,4,12100,278300,0,Y,No,38,3,2,80,2,22,4,2,1,1,1,1
27,2004,7,24,31621,758904,2,Y,No,1,4,3,80,1,18,3,3,17,17,4,16
28,2012,2,9,6361,25444,0,Y,No,15,3,1,80,4,10,5,1,5,2,5,2
29,2013,5,14,22383,268596,2,Y,No,2,3,4,80,4,9,6,2,1,1,1,1
